Core,X,Y,Tiefe mm,Y,Moving average 5 mm
KLOP17-01,194.7,60.805,105.6,60.805,46.63727778
KLOP17-01,195,57.09,105.9,57.09,45.63038889
KLOP17-01,195.3,52.399,106.2,52.399,44.76116667
KLOP17-01,195.6,46.988,106.5,46.988,44.03661111
KLOP17-01,195.9,40.674,106.8,40.674,43.47544444
KLOP17-01,196.2,34.656,107.1,34.656,43.011
KLOP17-01,196.5,29.292,107.4,29.292,42.48916667
KLOP17-01,196.8,25.621,107.7,25.621,41.9465
KLOP17-01,197.1,26.048,108,26.048,41.46716667
KLOP17-01,197.4,29.845,108.3,29.845,41.06744444
KLOP17-01,197.7,33.986,108.6,33.986,40.76522222
KLOP17-01,198,36.33,108.9,36.33,40.54283333
KLOP17-01,198.3,37.711,109.2,37.711,40.44083333
KLOP17-01,198.6,39.968,109.5,39.968,40.576
KLOP17-01,198.9,43.694,109.8,43.694,41.02288889
KLOP17-01,199.2,47.163,110.1,47.163,41.83861111
KLOP17-01,199.5,50.797,110.4,50.797,42.98783333
KLOP17-01,199.8,53.342,110.7,53.342,44.30172222
KLOP17-01,200.1,53.61,111,53.61,45.61644444
KLOP17-01,200.4,51.65,111.3,51.65,46.92266667
KLOP17-01,200.7,48.396,111.6,48.396,48.30044444
KLOP17-01,201,45.152,111.9,45.152,49.77533333
KLOP17-01,201.3,43.107,112.2,43.107,51.20772222
KLOP17-01,201.6,42.7,112.5,42.7,52.37066667
KLOP17-01,201.9,43.975,112.8,43.975,53.24166667
KLOP17-01,202.2,46.307,113.1,46.307,53.87738889
KLOP17-01,202.5,49.698,113.4,49.698,54.42872222
KLOP17-01,202.8,53.51,113.7,53.51,55.08327778
KLOP17-01,203.1,57.498,114,57.498,55.91194444
KLOP17-01,203.4,61.13,114.3,61.13,56.96727778
KLOP17-01,203.7,64.259,114.6,64.259,58.20516667
KLOP17-01,204,65.751,114.9,65.751,59.54244444
KLOP17-01,204.3,64.627,115.2,64.627,60.82372222
KLOP17-01,204.6,62.841,115.5,62.841,61.92888889
KLOP17-01,204.9,62.24,115.8,62.24,62.81555556
KLOP17-01,205.2,63.266,116.1,63.266,63.49072222
KLOP17-01,205.5,65.392,116.4,65.392,64.053
KLOP17-01,205.8,66.566,116.7,66.566,64.49661111
KLOP17-01,206.1,67.392,117,67.392,64.676
KLOP17-01,206.4,67.434,117.3,67.434,64.45722222
KLOP17-01,206.7,67.178,117.6,67.178,63.87538889
KLOP17-01,207,65.763,117.9,65.763,63.10233333
KLOP17-01,207.3,63.868,118.2,63.868,62.32611111
KLOP17-01,207.6,62.267,118.5,62.267,61.60055556
KLOP17-01,207.9,61.851,118.8,61.851,60.8455
KLOP17-01,208.2,63.631,119.1,63.631,59.97377778
KLOP17-01,208.5,65.483,119.4,65.483,59.00661111
KLOP17-01,208.8,64.359,119.7,64.359,57.98127778
KLOP17-01,209.1,60.321,120,60.321,56.93483333
KLOP17-01,209.4,55.278,120.3,55.278,55.92144444
KLOP17-01,209.7,50.712,120.6,50.712,55.06116667
KLOP17-01,210,48.869,120.9,48.869,54.39922222
KLOP17-01,210.3,49.18,121.2,49.18,53.86072222
KLOP17-01,210.6,49.675,121.5,49.675,53.357
KLOP17-01,210.9,49.701,121.8,49.701,52.84633333
KLOP17-01,211.2,49.157,122.1,49.157,52.38722222
KLOP17-01,211.5,48.936,122.4,48.936,52.12416667
KLOP17-01,211.8,48.598,122.7,48.598,52.17755556
KLOP17-01,212.1,48.937,123,48.937,52.54561111
KLOP17-01,212.4,50.278,123.3,50.278,53.15083333
KLOP17-01,212.7,51.953,123.6,51.953,53.81561111
KLOP17-01,213,52.574,123.9,52.574,54.43122222
KLOP17-01,213.3,52.784,124.2,52.784,55.04038889
KLOP17-01,213.6,54.439,124.5,54.439,55.64344444
KLOP17-01,213.9,57.219,124.8,57.219,56.22888889
KLOP17-01,214.2,59.624,125.1,59.624,56.78461111
KLOP17-01,214.5,61.282,125.4,61.282,57.32705556
KLOP17-01,214.8,61.903,125.7,61.903,57.82238889
KLOP17-01,215.1,61.606,126,61.606,58.1585
KLOP17-01,215.4,60.835,126.3,60.835,58.24333333
KLOP17-01,215.7,60.261,126.6,60.261,58.09633333
KLOP17-01,216,60.64,126.9,60.64,57.71255556
KLOP17-01,216.3,60.556,127.2,60.556,56.981
KLOP17-01,216.6,59.695,127.5,59.695,55.9275
KLOP17-01,216.9,58.939,127.8,58.939,54.70077778
KLOP17-01,217.2,58.362,128.1,58.362,53.45527778
KLOP17-01,217.5,57.853,128.4,57.853,52.26716667
KLOP17-01,217.8,56.328,128.7,56.328,51.19327778
KLOP17-01,218.1,53.48,129,53.48,50.22172222
KLOP17-01,218.4,49.928,129.3,49.928,49.3225
KLOP17-01,218.7,45.876,129.6,45.876,48.39522222
KLOP17-01,219,41.271,129.9,41.271,47.49816667
KLOP17-01,219.3,38.256,130.2,38.256,46.71255556
KLOP17-01,219.6,37.543,130.5,37.543,46.06305556
KLOP17-01,219.9,38.863,130.8,38.863,45.51288889
KLOP17-01,220.2,40.517,131.1,40.517,45.00538889
KLOP17-01,220.5,42.276,131.4,42.276,44.57405556
KLOP17-01,220.8,43.347,131.7,43.347,44.32372222
KLOP17-01,221.1,44.075,132,44.075,44.34672222
KLOP17-01,221.4,43.949,132.3,43.949,44.8065
KLOP17-01,221.7,44.409,132.6,44.409,45.81133333
KLOP17-01,222,45.554,132.9,45.554,47.28205556
KLOP17-01,222.3,47.248,133.2,47.248,48.88988889
KLOP17-01,222.6,48.459,133.5,48.459,50.319
KLOP17-01,222.9,48.718,133.8,48.718,51.46672222
KLOP17-01,223.2,48.564,134.1,48.564,52.30827778
KLOP17-01,223.5,48.974,134.4,48.974,52.94366667
KLOP17-01,223.8,50.342,134.7,50.342,53.46788889
KLOP17-01,224.1,54.152,135,54.152,53.97733333
KLOP17-01,224.4,59.358,135.3,59.358,54.43788889
KLOP17-01,224.7,64.729,135.6,64.729,54.79005556
KLOP17-01,225,66.484,135.9,66.484,54.97066667
KLOP17-01,225.3,64.587,136.2,64.587,55.0385
KLOP17-01,225.6,61.176,136.5,61.176,55.16777778
KLOP17-01,225.9,57.424,136.8,57.424,55.40438889
KLOP17-01,226.2,54.784,137.1,54.784,55.60683333
KLOP17-01,226.5,53.511,137.4,53.511,55.51822222
KLOP17-01,226.8,53.119,137.7,53.119,54.99433333
KLOP17-01,227.1,52.699,138,52.699,54.22205556
KLOP17-01,227.4,51.893,138.3,51.893,53.08461111
KLOP17-01,227.7,50.499,138.6,50.499,51.5205
KLOP17-01,228,49.68,138.9,49.68,49.96166667
